Rank,Team,2019 2nd-quarter-points-per-game
1,Kansas City,11.7
2,Tampa Bay,10.6
3,Baltimore,9.5
4,LA Rams,9.1
5,San Francisco,8.9
6,Dallas,8.7
7,New Orleans,8.6
8,NY Giants,8.6
9,Minnesota,8.3
10,Miami,7.2
10,LA Chargers,7.2
12,Las Vegas,7.1
13,Cleveland,6.9
14,Buffalo,6.6
15,Houston,6.6
16,Seattle,6.5
16,Indianapolis,6.5
18,New England,6.3
19,Philadelphia,6.2
20,Pittsburgh,6.0
20,Carolina,6.0
22,Arizona,5.9
22,Denver,5.9
24,Washington,5.9
25,Detroit,5.8
26,Cincinnati,5.4
27,Green Bay,5.4
28,Tennessee,5.2
29,Atlanta,5.1
30,Chicago,5.0
31,NY Jets,4.9
32,Jacksonville,3.7
