Rank,Team,2019 average-scoring-margin
1,Baltimore,13.7
2,New England,11.1
3,San Francisco,10.1
4,Kansas City,9.7
5,Dallas,7.1
6,New Orleans,6.5
7,Minnesota,5.2
8,Tennessee,4.4
9,Buffalo,3.1
10,Green Bay,2.8
11,LA Rams,1.9
12,Philadelphia,1.4
13,Tampa Bay,0.6
14,Seattle,0.6
15,LA Chargers,-0.5
16,Indianapolis,-0.8
17,Pittsburgh,-0.9
18,Atlanta,-1.1
18,Chicago,-1.1
20,Houston,-1.3
21,Denver,-2.1
22,Cleveland,-3.6
23,Arizona,-5.1
24,Detroit,-5.1
25,NY Jets,-5.2
26,Jacksonville,-6.1
27,Las Vegas,-6.6
28,NY Giants,-6.9
29,Carolina,-8.1
30,Cincinnati,-8.8
31,Washington,-10.6
32,Miami,-11.8
