Rank,Team,2019 block-field-goal-pct
1,Tennessee,9.68%
2,Buffalo,7.14%
3,Philadelphia,6.90%
4,Houston,6.45%
4,Baltimore,6.45%
6,Cleveland,6.25%
7,Seattle,5.26%
8,Jacksonville,3.70%
9,Kansas City,3.23%
10,Carolina,2.86%
11,Denver,2.56%
12,Dallas,0.00%
12,Atlanta,0.00%
12,Washington,0.00%
12,Pittsburgh,0.00%
12,New Orleans,0.00%
12,Las Vegas,0.00%
12,Detroit,0.00%
12,Chicago,0.00%
12,San Francisco,0.00%
12,NY Jets,0.00%
12,Miami,0.00%
12,Tampa Bay,0.00%
12,Arizona,0.00%
12,New England,0.00%
12,LA Chargers,0.00%
12,NY Giants,0.00%
12,LA Rams,0.00%
12,Green Bay,0.00%
12,Cincinnati,0.00%
12,Minnesota,0.00%
12,Indianapolis,0.00%
