Rank,Team,2019 block-punt-pct
1,New England,4.17%
2,Washington,1.72%
3,Houston,1.56%
4,Seattle,1.52%
5,Carolina,1.47%
6,Minnesota,1.45%
7,NY Giants,1.41%
8,New Orleans,1.27%
9,NY Jets,1.22%
10,Dallas,0.00%
10,Atlanta,0.00%
10,Pittsburgh,0.00%
10,Las Vegas,0.00%
10,Detroit,0.00%
10,Chicago,0.00%
10,Jacksonville,0.00%
10,San Francisco,0.00%
10,Miami,0.00%
10,Tennessee,0.00%
10,Cleveland,0.00%
10,Tampa Bay,0.00%
10,Arizona,0.00%
10,Kansas City,0.00%
10,Denver,0.00%
10,Buffalo,0.00%
10,LA Chargers,0.00%
10,LA Rams,0.00%
10,Green Bay,0.00%
10,Cincinnati,0.00%
10,Baltimore,0.00%
10,Philadelphia,0.00%
10,Indianapolis,0.00%
