Rank,Team,2019 defensive-touchdowns-per-game
1,Tampa Bay,0.4
2,Baltimore,0.4
3,NY Jets,0.3
4,New England,0.3
5,San Francisco,0.3
6,LA Rams,0.3
7,Tennessee,0.2
8,Pittsburgh,0.2
9,New Orleans,0.2
9,Philadelphia,0.2
11,Seattle,0.2
12,Kansas City,0.2
13,Atlanta,0.1
13,Las Vegas,0.1
13,Jacksonville,0.1
13,NY Giants,0.1
17,Houston,0.1
17,Minnesota,0.1
19,Dallas,0.1
19,Detroit,0.1
19,Chicago,0.1
19,Miami,0.1
19,Cleveland,0.1
19,Denver,0.1
19,Carolina,0.1
19,Indianapolis,0.1
27,Washington,0.0
27,Arizona,0.0
27,Buffalo,0.0
27,LA Chargers,0.0
27,Green Bay,0.0
27,Cincinnati,0.0
