Rank,Team,2019 extra-point-conversion-pct
1,Dallas,100.00%
1,Pittsburgh,100.00%
1,LA Chargers,100.00%
1,LA Rams,100.00%
5,San Francisco,98.31%
6,New Orleans,98.04%
7,Green Bay,97.87%
8,Detroit,97.22%
9,Arizona,97.14%
10,Tennessee,96.72%
11,Miami,96.67%
12,Baltimore,96.61%
13,Denver,96.15%
14,Cincinnati,96.00%
15,Washington,95.45%
16,Jacksonville,95.00%
17,Philadelphia,94.59%
18,Las Vegas,94.44%
19,Buffalo,93.94%
20,Kansas City,93.75%
21,Atlanta,93.55%
22,Chicago,93.10%
23,Seattle,91.67%
24,Minnesota,91.49%
25,Houston,89.80%
26,NY Giants,89.74%
27,Tampa Bay,89.58%
28,Carolina,88.57%
29,New England,86.96%
30,Cleveland,85.71%
31,NY Jets,85.19%
32,Indianapolis,84.62%
