Rank,Team,2019 field-goal-conversion-pct-net-of-blocks
1,Jacksonville,97.06%
2,Baltimore,96.77%
3,Minnesota,93.75%
4,Pittsburgh,93.55%
5,Kansas City,92.31%
6,Green Bay,91.67%
7,Arizona,91.18%
8,New Orleans,87.18%
9,Cincinnati,87.10%
10,Detroit,86.67%
11,Washington,86.21%
11,Cleveland,86.21%
11,Philadelphia,86.21%
14,New England,85.29%
14,Denver,85.29%
16,San Francisco,84.09%
17,Chicago,82.14%
18,Buffalo,81.25%
19,Carolina,80.65%
19,Seattle,80.65%
21,Atlanta,80.00%
22,Tampa Bay,79.41%
23,Houston,79.31%
24,LA Chargers,78.79%
25,Dallas,76.92%
26,Miami,76.67%
27,Indianapolis,75.86%
28,LA Rams,75.00%
29,Las Vegas,73.08%
30,NY Giants,70.59%
31,NY Jets,70.37%
32,Tennessee,52.94%
