Rank,Team,2019 field-goal-conversion-pct
1,Jacksonville,97.06%
2,Baltimore,96.77%
3,Minnesota,93.75%
4,Pittsburgh,93.55%
5,Green Bay,91.67%
6,Kansas City,90.00%
7,Arizona,88.57%
8,New Orleans,87.18%
9,Cincinnati,87.10%
10,Cleveland,86.21%
10,Philadelphia,86.21%
12,Denver,85.29%
13,Detroit,83.87%
14,Washington,83.33%
15,Chicago,82.14%
16,Buffalo,81.25%
17,New England,80.56%
18,San Francisco,80.43%
19,Atlanta,80.00%
20,Houston,79.31%
21,Carolina,78.13%
21,Seattle,78.13%
23,Tampa Bay,77.14%
24,Miami,76.67%
25,LA Chargers,76.47%
26,Dallas,75.00%
27,Las Vegas,73.08%
28,LA Rams,72.73%
29,Indianapolis,70.97%
30,NY Giants,70.59%
31,NY Jets,67.86%
32,Tennessee,47.37%
