Rank,Team,2019 field-goals-made-per-game
1,Jacksonville,2.1
2,Atlanta,2.0
2,New Orleans,2.0
4,San Francisco,1.9
5,Arizona,1.9
6,Kansas City,1.9
7,Dallas,1.9
8,Pittsburgh,1.8
8,Denver,1.8
10,Baltimore,1.8
11,New England,1.7
12,Tampa Bay,1.7
12,Cincinnati,1.7
14,Minnesota,1.7
15,Detroit,1.6
15,LA Chargers,1.6
17,Washington,1.6
17,Cleveland,1.6
17,Carolina,1.6
20,Buffalo,1.5
21,LA Rams,1.5
22,Philadelphia,1.5
23,Chicago,1.4
23,Miami,1.4
25,Seattle,1.4
26,Indianapolis,1.4
27,Houston,1.3
28,Green Bay,1.2
29,Las Vegas,1.2
29,NY Jets,1.2
31,NY Giants,0.8
32,Tennessee,0.5
