Rank,Team,2019 giveaways-per-game
1,New Orleans,0.6
2,Green Bay,0.9
3,Tennessee,0.9
3,Kansas City,0.9
5,New England,1.0
5,Denver,1.0
7,Baltimore,1.1
8,Las Vegas,1.1
9,Seattle,1.1
10,Dallas,1.1
10,Arizona,1.1
12,Buffalo,1.2
13,Chicago,1.2
14,Jacksonville,1.3
15,Minnesota,1.3
16,Washington,1.3
16,Indianapolis,1.3
18,Houston,1.3
19,Philadelphia,1.4
20,San Francisco,1.4
21,Detroit,1.4
22,LA Rams,1.5
23,Atlanta,1.6
23,NY Jets,1.6
25,Miami,1.6
26,Cleveland,1.8
27,Pittsburgh,1.9
27,Cincinnati,1.9
29,LA Chargers,1.9
30,NY Giants,2.1
31,Carolina,2.2
32,Tampa Bay,2.6
