Rank,Team,2019 interception-pct
1,New England,4.71%
2,Pittsburgh,3.89%
3,Green Bay,2.91%
4,Minnesota,2.91%
5,Cleveland,2.73%
6,San Francisco,2.70%
7,Indianapolis,2.67%
8,Kansas City,2.58%
9,Carolina,2.57%
10,Seattle,2.45%
11,Buffalo,2.42%
12,Washington,2.41%
13,Miami,2.39%
14,LA Chargers,2.37%
15,Tennessee,2.33%
16,Baltimore,2.33%
17,LA Rams,2.31%
18,Atlanta,2.24%
19,Cincinnati,2.20%
20,NY Jets,2.05%
21,New Orleans,2.05%
22,Jacksonville,1.93%
23,Denver,1.86%
24,Philadelphia,1.83%
25,Tampa Bay,1.81%
26,NY Giants,1.80%
27,Houston,1.79%
28,Chicago,1.75%
29,Las Vegas,1.71%
30,Dallas,1.23%
31,Arizona,1.16%
32,Detroit,1.15%
