Rank,Team,2019 interceptions-thrown-per-game
1,Green Bay,0.3
1,Seattle,0.3
3,Kansas City,0.4
4,New Orleans,0.4
5,Philadelphia,0.5
6,Tennessee,0.5
7,Las Vegas,0.5
7,Jacksonville,0.5
7,Minnesota,0.5
10,New England,0.6
10,Baltimore,0.6
12,Denver,0.6
12,Indianapolis,0.6
14,Dallas,0.7
15,Buffalo,0.7
16,Chicago,0.8
16,Arizona,0.8
18,Houston,0.8
19,Washington,0.8
20,San Francisco,0.8
21,Atlanta,0.9
21,Detroit,0.9
23,NY Jets,1.0
23,Cincinnati,1.0
25,NY Giants,1.1
25,LA Rams,1.1
27,Miami,1.1
28,Pittsburgh,1.2
29,LA Chargers,1.3
30,Cleveland,1.3
30,Carolina,1.3
32,Tampa Bay,1.9
