Rank,Team,2019 net-yards-per-punt-attempt
1,Jacksonville,44.5
2,Washington,44.1
3,Houston,43.4
4,New Orleans,43.0
5,Tennessee,42.8
6,Minnesota,42.5
7,Philadelphia,42.4
8,LA Rams,42.4
9,NY Giants,42.3
10,Cincinnati,42.1
11,Detroit,41.8
12,NY Jets,41.6
13,Cleveland,41.5
14,San Francisco,41.5
15,Arizona,41.5
16,Indianapolis,41.2
17,Miami,41.1
18,New England,41.1
19,Seattle,41.1
20,LA Chargers,40.9
21,Pittsburgh,40.9
22,Chicago,40.7
23,Baltimore,39.9
24,Green Bay,39.8
25,Las Vegas,39.4
26,Denver,39.4
27,Kansas City,39.0
28,Carolina,38.7
29,Tampa Bay,38.3
30,Atlanta,38.1
31,Buffalo,37.7
32,Dallas,37.0
