Rank,Team,2019 opponent-assisted-tackles-per-game
1,Kansas City,12.3
2,Chicago,13.7
3,Detroit,14.7
4,Miami,14.8
4,Indianapolis,14.8
6,Green Bay,16.1
7,New England,16.9
8,Arizona,16.9
9,Buffalo,17.2
10,LA Rams,17.7
11,Philadelphia,17.7
12,Pittsburgh,17.8
12,NY Giants,17.8
14,Atlanta,17.9
15,Houston,18.1
16,Cleveland,18.2
17,New Orleans,18.3
18,San Francisco,18.9
19,Dallas,19.2
20,Denver,19.4
21,Cincinnati,19.5
22,Washington,19.6
23,Minnesota,19.8
24,Jacksonville,19.8
25,Baltimore,19.9
26,Tampa Bay,20.2
27,Tennessee,20.3
28,LA Chargers,21.1
29,Las Vegas,21.4
30,Carolina,22.9
31,Seattle,23.0
32,NY Jets,24.5
