Rank,Team,2019 opponent-average-time-of-possession-net-of-ot
1,Baltimore,25:35
2,Philadelphia,27:10
3,New Orleans,27:58
4,New England,28:27
5,San Francisco,28:34
6,Green Bay,28:39
7,Las Vegas,28:58
8,Atlanta,29:04
9,Tampa Bay,29:05
10,Seattle,29:28
11,Jacksonville,29:30
12,LA Chargers,29:31
13,Chicago,29:43
14,Houston,29:45
15,Indianapolis,29:48
16,Buffalo,29:57
17,Cleveland,30:17
18,Dallas,30:27
19,Kansas City,30:32
20,Cincinnati,30:34
21,Denver,30:39
22,LA Rams,30:59
23,Carolina,31:05
24,NY Jets,31:07
25,Detroit,31:07
26,Pittsburgh,31:12
27,Tennessee,31:17
28,Minnesota,31:21
29,Miami,31:30
30,NY Giants,31:38
31,Arizona,32:39
32,Washington,32:48
