Rank,Team,2019 opponent-extra-points-made-per-game
1,Buffalo,1.2
2,Baltimore,1.5
3,New England,1.5
4,Denver,1.6
5,Kansas City,1.7
6,Chicago,1.7
7,Minnesota,1.7
8,Dallas,1.8
8,NY Jets,1.8
10,Pittsburgh,1.9
11,Green Bay,1.9
12,San Francisco,1.9
12,Tennessee,1.9
14,LA Chargers,2.0
15,New Orleans,2.1
16,Seattle,2.2
17,Philadelphia,2.2
18,Atlanta,2.2
19,Tampa Bay,2.4
19,Indianapolis,2.4
21,LA Rams,2.5
22,Cleveland,2.6
23,Jacksonville,2.7
24,Houston,2.7
25,Detroit,2.8
25,Cincinnati,2.8
27,Washington,2.9
28,Miami,2.9
29,Arizona,3.1
29,Carolina,3.1
31,NY Giants,3.1
32,Las Vegas,3.2
