Rank,Team,2019 opponent-field-goal-conversion-pct
1,Buffalo,64.29%
2,LA Chargers,69.70%
3,Cleveland,71.88%
4,Seattle,73.68%
5,Chicago,76.67%
6,Las Vegas,76.92%
7,Carolina,77.14%
8,NY Giants,78.13%
9,Detroit,79.41%
10,LA Rams,80.00%
11,Pittsburgh,80.65%
11,Tennessee,80.65%
11,Kansas City,80.65%
14,Dallas,81.25%
15,Jacksonville,81.48%
16,Miami,81.58%
17,NY Jets,82.35%
18,Philadelphia,82.76%
19,Washington,83.33%
20,Green Bay,83.78%
21,Houston,83.87%
22,Arizona,84.38%
23,Tampa Bay,86.05%
24,San Francisco,86.36%
25,Minnesota,86.84%
26,Baltimore,87.10%
27,Denver,87.18%
28,Atlanta,88.24%
28,Cincinnati,88.24%
30,New England,89.47%
31,New Orleans,92.31%
32,Indianapolis,93.55%
