Rank,Team,2019 opponent-fourth-down-conversion-pct
1,Arizona,21.43%
2,NY Jets,25.00%
3,Baltimore,33.33%
4,Cleveland,35.29%
5,Tennessee,35.48%
6,New England,36.36%
6,Buffalo,36.36%
8,San Francisco,37.50%
9,Houston,41.18%
10,Indianapolis,42.11%
11,New Orleans,44.00%
12,Dallas,45.45%
12,Jacksonville,45.45%
14,Detroit,46.67%
15,Denver,47.37%
15,Green Bay,47.37%
17,Kansas City,47.50%
18,Pittsburgh,47.62%
19,Tampa Bay,48.15%
20,Cincinnati,50.00%
20,Seattle,50.00%
22,Minnesota,53.33%
23,Chicago,56.52%
24,NY Giants,57.14%
25,LA Rams,58.33%
26,Atlanta,60.00%
27,Philadelphia,61.11%
28,Miami,61.54%
28,LA Chargers,61.54%
30,Washington,63.16%
31,Carolina,66.67%
32,Las Vegas,69.23%
