Rank,Team,2019 opponent-fumble-recovery-pct
1,New Orleans,30.77%
2,Minnesota,37.93%
3,Denver,40.54%
4,Houston,40.91%
5,Pittsburgh,41.27%
6,Tennessee,41.86%
7,Baltimore,43.90%
8,Tampa Bay,44.00%
9,Chicago,46.43%
9,Seattle,46.43%
11,Dallas,47.06%
11,Buffalo,47.06%
13,LA Rams,47.50%
14,Philadelphia,49.09%
15,Washington,50.00%
15,Las Vegas,50.00%
17,Miami,52.38%
18,Kansas City,53.06%
19,NY Giants,53.33%
20,San Francisco,54.24%
21,Cincinnati,55.56%
22,Atlanta,55.81%
22,New England,55.81%
24,Indianapolis,55.88%
25,Carolina,56.10%
26,Green Bay,56.76%
27,Detroit,57.14%
27,Jacksonville,57.14%
29,NY Jets,58.00%
30,Cleveland,58.06%
31,Arizona,59.38%
32,LA Chargers,64.86%
