Rank,Team,2019 opponent-gross-punt-yards-per-game
1,Kansas City,152.7
2,Arizona,157.7
3,Washington,158.5
4,Miami,159.1
4,Indianapolis,159.1
6,Houston,163.0
7,Seattle,165.0
8,LA Chargers,166.4
9,Atlanta,169.4
10,Cleveland,173.6
11,Las Vegas,175.7
12,Minnesota,176.6
13,Green Bay,178.1
14,Detroit,184.8
15,Tampa Bay,187.9
16,Cincinnati,192.1
17,Carolina,193.7
18,Baltimore,194.4
19,Tennessee,194.5
20,Jacksonville,196.3
21,NY Giants,198.4
22,Dallas,199.3
23,LA Rams,201.4
24,New Orleans,202.6
25,Denver,206.4
26,Pittsburgh,210.4
27,Chicago,215.2
28,San Francisco,216.7
29,NY Jets,220.9
30,Buffalo,233.4
31,Philadelphia,235.5
32,New England,242.5
