Rank,Team,2019 opponent-kickoff-touchback-pct
1,Kansas City,38.64%
2,Chicago,45.07%
3,NY Giants,45.74%
4,Buffalo,50.75%
5,New England,50.79%
6,Cincinnati,51.65%
7,NY Jets,51.81%
8,New Orleans,51.85%
9,Cleveland,52.38%
10,LA Chargers,55.13%
11,Green Bay,55.17%
12,Baltimore,56.41%
13,Tennessee,56.67%
14,Pittsburgh,58.33%
15,Las Vegas,58.62%
16,Arizona,59.34%
17,Philadelphia,60.24%
18,Washington,61.11%
19,Miami,61.54%
20,Indianapolis,61.90%
21,Seattle,64.29%
22,San Francisco,65.00%
23,Carolina,66.67%
24,Jacksonville,67.47%
25,Atlanta,68.54%
26,Denver,70.51%
27,Minnesota,70.93%
28,Tampa Bay,71.13%
29,Detroit,71.91%
30,Dallas,72.00%
31,LA Rams,72.50%
32,Houston,74.23%
