Rank,Team,2019 opponent-kickoffs-per-game
1,New England,3.7
2,Buffalo,3.9
3,San Francisco,4.2
4,Chicago,4.4
5,Pittsburgh,4.5
6,Baltimore,4.6
7,Kansas City,4.6
8,Dallas,4.7
9,Tennessee,4.7
10,New Orleans,4.8
11,Minnesota,4.8
12,Green Bay,4.8
13,Denver,4.9
13,LA Chargers,4.9
15,Philadelphia,4.9
16,LA Rams,5.0
17,Jacksonville,5.2
17,NY Jets,5.2
19,Cleveland,5.3
19,Indianapolis,5.3
21,Houston,5.4
22,Las Vegas,5.4
23,Seattle,5.4
24,Atlanta,5.6
24,Detroit,5.6
26,Washington,5.6
27,Arizona,5.7
27,Cincinnati,5.7
29,NY Giants,5.9
30,Tampa Bay,6.1
31,Carolina,6.2
32,Miami,6.5
