Rank,Team,2019 opponent-net-yards-per-punt-attempt
1,New Orleans,37.6
2,Indianapolis,38.0
3,NY Jets,38.5
4,New England,39.7
5,NY Giants,40.0
6,Pittsburgh,40.0
7,Kansas City,40.2
8,Arizona,40.3
9,Chicago,40.3
10,Cincinnati,40.4
11,Buffalo,40.9
12,Washington,40.9
13,Detroit,41.1
14,Philadelphia,41.2
15,Miami,41.2
16,LA Rams,41.3
17,LA Chargers,41.4
18,Houston,41.5
19,Cleveland,41.5
20,Carolina,41.9
21,Denver,41.9
22,Green Bay,42.0
23,Tennessee,42.0
24,Baltimore,42.0
25,Seattle,42.0
26,San Francisco,42.1
27,Jacksonville,42.1
28,Minnesota,42.2
29,Atlanta,42.2
30,Las Vegas,42.7
31,Dallas,43.1
32,Tampa Bay,44.0
