Rank,Team,2019 opponent-passing-first-downs-per-game
1,New England,9.1
2,San Francisco,9.7
3,LA Chargers,9.8
4,Baltimore,9.9
5,Pittsburgh,10.3
6,Buffalo,10.7
7,Denver,10.9
8,Cincinnati,11.4
9,Philadelphia,11.5
10,Cleveland,11.5
11,Green Bay,11.6
12,NY Jets,11.7
13,Dallas,11.8
14,Chicago,11.9
15,Atlanta,12.0
16,Jacksonville,12.1
17,LA Rams,12.1
18,New Orleans,12.2
19,Carolina,12.3
20,Kansas City,12.3
21,Washington,12.5
22,Las Vegas,12.6
23,Indianapolis,12.9
24,Minnesota,13.1
25,NY Giants,13.2
26,Miami,13.4
27,Tennessee,13.5
28,Seattle,13.6
29,Tampa Bay,13.9
30,Houston,13.9
31,Detroit,14.5
32,Arizona,15.2
