Rank,Team,2019 opponent-passing-play-pct
1,Cincinnati,51.26%
2,LA Chargers,53.52%
3,Miami,53.94%
4,Washington,54.31%
5,Cleveland,54.34%
6,Pittsburgh,55.15%
7,NY Giants,55.80%
8,Jacksonville,56.46%
9,Green Bay,56.99%
10,Atlanta,57.26%
11,Carolina,57.29%
12,Denver,57.53%
13,Las Vegas,57.94%
14,LA Rams,57.95%
15,Detroit,58.41%
16,Chicago,59.29%
17,Arizona,59.35%
18,New England,59.70%
19,NY Jets,59.79%
20,Dallas,59.90%
21,Buffalo,59.90%
22,Minnesota,60.17%
23,San Francisco,60.21%
24,Houston,60.79%
25,Seattle,60.85%
26,Kansas City,60.91%
27,Indianapolis,61.16%
28,Tennessee,61.21%
29,Baltimore,61.29%
30,Philadelphia,62.99%
31,New Orleans,64.12%
32,Tampa Bay,66.26%
