Rank,Team,2019 opponent-passing-yards-pct
1,Tampa Bay,78.54%
2,Philadelphia,73.53%
3,NY Jets,73.09%
4,Las Vegas,72.34%
5,New Orleans,71.94%
6,Indianapolis,71.76%
7,Detroit,71.04%
8,Tennessee,70.44%
9,Arizona,70.12%
10,NY Giants,69.99%
11,Atlanta,68.82%
12,Seattle,68.63%
13,Chicago,68.53%
14,Houston,68.51%
15,Dallas,68.35%
16,Minnesota,67.02%
17,Denver,66.93%
18,LA Rams,66.71%
19,Baltimore,66.51%
20,Miami,65.96%
21,Buffalo,65.12%
22,Kansas City,64.52%
23,Pittsburgh,63.97%
24,LA Chargers,63.96%
25,Green Bay,63.65%
26,New England,63.10%
27,Jacksonville,62.89%
28,San Francisco,62.78%
29,Cincinnati,62.18%
30,Washington,62.04%
31,Carolina,61.68%
32,Cleveland,59.98%
