Rank,Team,2019 opponent-plays-per-game
1,Baltimore,57.3
2,LA Chargers,57.7
3,New England,59.1
4,Las Vegas,60.2
5,Philadelphia,60.2
6,San Francisco,60.3
7,Atlanta,61.6
8,Green Bay,61.6
9,Indianapolis,61.6
10,Buffalo,61.8
11,Jacksonville,62.4
12,Denver,62.7
13,Seattle,63.0
14,New Orleans,63.1
15,Cleveland,63.4
16,Dallas,63.4
17,Chicago,63.6
18,Houston,64.3
19,Pittsburgh,64.4
20,Cincinnati,64.6
21,NY Jets,64.8
22,Kansas City,64.9
23,Carolina,65.1
24,Minnesota,65.3
25,Miami,65.8
26,LA Rams,66.0
27,NY Giants,66.3
28,Tennessee,66.9
29,Tampa Bay,67.1
30,Washington,67.4
31,Arizona,67.5
32,Detroit,68.4
