Rank,Team,2019 opponent-points-per-field-goal-attempt
1,Buffalo,1.9
2,LA Chargers,2.1
3,Cleveland,2.2
4,Seattle,2.2
5,Chicago,2.3
6,Las Vegas,2.3
7,Carolina,2.3
8,NY Giants,2.3
9,Detroit,2.4
10,LA Rams,2.4
11,Pittsburgh,2.4
11,Tennessee,2.4
11,Kansas City,2.4
14,Dallas,2.4
15,Jacksonville,2.4
16,Miami,2.4
17,NY Jets,2.5
18,Philadelphia,2.5
19,Washington,2.5
20,Green Bay,2.5
21,Houston,2.5
22,Arizona,2.5
23,Tampa Bay,2.6
24,San Francisco,2.6
25,Minnesota,2.6
26,Baltimore,2.6
27,Denver,2.6
28,Atlanta,2.6
28,Cincinnati,2.6
30,New England,2.7
31,New Orleans,2.8
32,Indianapolis,2.8
