Rank,Team,2019 opponent-punts-per-offensive-score
1,New England,2.1
2,Buffalo,1.8
3,San Francisco,1.4
4,Philadelphia,1.3
5,Chicago,1.3
6,Pittsburgh,1.3
7,NY Jets,1.2
8,New Orleans,1.2
9,Baltimore,1.2
10,Dallas,1.1
11,Tennessee,1.1
12,LA Rams,1.1
13,Denver,1.1
14,Jacksonville,1.0
14,Green Bay,1.0
14,Minnesota,1.0
17,LA Chargers,1.0
18,Kansas City,0.9
19,NY Giants,0.9
20,Cincinnati,0.9
21,Cleveland,0.9
22,Detroit,0.9
23,Las Vegas,0.8
24,Seattle,0.8
25,Carolina,0.8
26,Houston,0.8
27,Indianapolis,0.8
28,Atlanta,0.8
29,Washington,0.8
30,Tampa Bay,0.8
31,Arizona,0.7
32,Miami,0.6
