Rank,Team,2019 opponent-red-zone-scoring-attempts-per-game
1,New England,1.8
2,LA Chargers,2.5
3,San Francisco,2.5
4,Buffalo,2.6
4,Philadelphia,2.6
6,Baltimore,2.8
7,Pittsburgh,2.9
7,Denver,2.9
9,New Orleans,3.0
9,NY Jets,3.0
9,Tennessee,3.0
9,Green Bay,3.0
13,Minnesota,3.1
14,Indianapolis,3.1
15,Cincinnati,3.2
16,Seattle,3.2
17,LA Rams,3.3
18,Houston,3.3
19,Atlanta,3.3
19,Chicago,3.3
21,NY Giants,3.4
22,Las Vegas,3.4
23,Kansas City,3.5
24,Jacksonville,3.5
25,Dallas,3.6
25,Detroit,3.6
25,Cleveland,3.6
28,Washington,3.7
28,Miami,3.7
30,Tampa Bay,3.8
31,Arizona,3.9
32,Carolina,4.0
