Rank,Team,2019 opponent-rushing-yards-per-game
1,Tampa Bay,73.8
2,NY Jets,86.9
3,Philadelphia,88.6
4,New Orleans,93.9
5,Indianapolis,97.9
6,Las Vegas,98.1
7,Baltimore,100.6
8,New England,101.7
9,Chicago,102.0
10,Dallas,103.5
11,Buffalo,105.3
12,San Francisco,106.0
13,Tennessee,108.8
14,Pittsburgh,109.6
15,Atlanta,110.9
16,Denver,111.4
17,Minnesota,111.7
18,LA Chargers,112.8
19,LA Rams,113.1
20,NY Giants,113.3
21,Detroit,115.9
22,Seattle,117.3
23,Arizona,120.1
24,Houston,123.7
25,Kansas City,124.8
26,Green Bay,128.7
27,Miami,135.4
28,Jacksonville,139.3
29,Carolina,143.5
30,Cleveland,144.7
31,Washington,146.2
32,Cincinnati,148.9
