Rank,Team,2019 opponent-seconds-per-play
1,Tampa Bay,26.2
2,New Orleans,26.8
3,Baltimore,26.9
4,Philadelphia,27.1
5,Detroit,27.6
6,Green Bay,27.9
7,Houston,28.0
8,Chicago,28.1
9,Tennessee,28.1
10,LA Rams,28.2
11,Seattle,28.2
12,Kansas City,28.2
13,Atlanta,28.3
14,Jacksonville,28.4
15,Carolina,28.6
16,Cleveland,28.7
17,Cincinnati,28.8
18,San Francisco,28.8
19,Dallas,28.8
20,NY Jets,28.8
21,Minnesota,28.8
22,Las Vegas,28.9
23,New England,28.9
24,NY Giants,28.9
25,Miami,28.9
26,Arizona,29.3
27,Pittsburgh,29.3
28,Indianapolis,29.3
29,Denver,29.3
30,Washington,29.5
31,Buffalo,29.5
32,LA Chargers,30.7
