Rank,Team,2019 opponent-takeaway-fumble-recovery-pct
1,Denver,28.57%
2,New Orleans,30.00%
3,Miami,32.00%
3,Buffalo,32.00%
5,Pittsburgh,36.67%
6,Washington,38.10%
7,Tennessee,39.13%
8,LA Rams,41.18%
8,Minnesota,41.18%
10,Houston,41.67%
11,Baltimore,42.11%
12,Kansas City,42.31%
13,Las Vegas,42.86%
13,NY Jets,42.86%
15,Philadelphia,44.12%
16,Dallas,46.67%
16,New England,46.67%
18,Atlanta,47.62%
19,Tampa Bay,47.83%
20,Cleveland,50.00%
20,Seattle,50.00%
22,NY Giants,51.61%
23,San Francisco,52.38%
23,LA Chargers,52.38%
25,Chicago,53.85%
26,Green Bay,55.56%
27,Carolina,56.00%
27,Cincinnati,56.00%
29,Jacksonville,57.14%
30,Indianapolis,61.11%
31,Detroit,66.67%
31,Arizona,66.67%
