Rank,Team,2019 opponent-third-down-conversions-per-game
1,New England,3.1
2,San Francisco,3.9
3,Dallas,4.2
4,Kansas City,4.5
5,Green Bay,4.6
6,Philadelphia,4.6
7,Seattle,4.6
8,Cleveland,4.6
9,Baltimore,4.6
10,Tampa Bay,4.7
11,Pittsburgh,4.8
11,Chicago,4.8
13,Atlanta,4.8
13,Carolina,4.8
15,Buffalo,4.8
16,New Orleans,4.9
17,Jacksonville,4.9
17,Denver,4.9
19,Tennessee,5.1
20,Las Vegas,5.1
20,Miami,5.1
22,Minnesota,5.2
23,Indianapolis,5.3
24,NY Giants,5.4
24,LA Rams,5.4
26,NY Jets,5.5
26,LA Chargers,5.5
28,Cincinnati,5.6
29,Detroit,5.9
30,Houston,6.2
31,Arizona,6.3
32,Washington,6.9
