Rank,Team,2019 opponent-two-point-conversion-attempts-per-game
1,Las Vegas,0.0
1,Arizona,0.0
1,NY Giants,0.0
4,New England,0.1
5,Pittsburgh,0.1
5,LA Rams,0.1
5,Indianapolis,0.1
8,Washington,0.1
8,Jacksonville,0.1
8,Cleveland,0.1
8,LA Chargers,0.1
8,Cincinnati,0.1
13,Houston,0.2
14,New Orleans,0.2
15,Detroit,0.2
16,Green Bay,0.2
16,Minnesota,0.2
18,Philadelphia,0.2
19,Dallas,0.3
19,Atlanta,0.3
19,Chicago,0.3
19,Denver,0.3
23,Tennessee,0.3
24,Baltimore,0.3
25,Miami,0.3
25,Carolina,0.3
27,NY Jets,0.4
28,Buffalo,0.4
29,Tampa Bay,0.4
30,Seattle,0.4
31,Kansas City,0.5
32,San Francisco,0.5
