Rank,Team,2019 opponent-yards-per-completion
1,San Francisco,8.6
2,Buffalo,9.1
3,Minnesota,9.5
4,New England,9.5
5,Dallas,9.7
6,LA Chargers,9.8
7,Chicago,9.8
8,Pittsburgh,9.9
9,Indianapolis,10.1
10,Kansas City,10.1
11,Washington,10.3
12,Denver,10.4
13,NY Jets,10.4
14,LA Rams,10.4
15,Baltimore,10.4
16,New Orleans,10.5
17,Tampa Bay,10.6
18,Carolina,10.7
19,Tennessee,10.7
20,Arizona,10.7
21,Cleveland,10.9
22,Seattle,11.1
23,Atlanta,11.2
24,Philadelphia,11.4
25,NY Giants,11.4
26,Houston,11.5
27,Green Bay,11.5
28,Jacksonville,11.6
29,Detroit,11.9
30,Las Vegas,12.2
31,Miami,12.2
32,Cincinnati,12.7
