Rank,Team,2019 opponent-yards-per-play
1,New England,4.7
2,San Francisco,4.7
3,Pittsburgh,4.7
4,Buffalo,4.9
5,NY Jets,5.0
6,Chicago,5.1
7,Tampa Bay,5.1
8,LA Rams,5.1
9,Dallas,5.2
10,Minnesota,5.2
11,Baltimore,5.2
12,New Orleans,5.3
13,Denver,5.4
14,Kansas City,5.4
15,LA Chargers,5.4
16,Tennessee,5.5
17,Philadelphia,5.6
18,Indianapolis,5.6
19,NY Giants,5.7
20,Cleveland,5.7
21,Washington,5.7
22,Green Bay,5.7
23,Carolina,5.8
24,Atlanta,5.8
25,Detroit,5.9
26,Las Vegas,5.9
27,Seattle,5.9
28,Arizona,6.0
29,Jacksonville,6.0
30,Miami,6.0
31,Cincinnati,6.1
32,Houston,6.1
