Rank,Team,2019 passing-first-downs-per-game
1,Atlanta,16.1
2,Tampa Bay,15.3
3,Carolina,14.4
4,Dallas,14.3
5,New Orleans,14.2
6,LA Rams,13.9
7,LA Chargers,13.8
8,Kansas City,13.4
9,Philadelphia,13.2
10,Miami,13.1
11,Houston,13.0
12,Detroit,12.3
13,New England,12.2
14,Las Vegas,12.1
15,Green Bay,12.1
16,Seattle,11.9
17,Cincinnati,11.9
18,NY Giants,11.7
19,San Francisco,11.6
20,Jacksonville,11.4
21,Cleveland,11.3
22,Chicago,11.1
23,Baltimore,11.1
24,Arizona,11.0
25,Tennessee,10.5
26,Minnesota,10.4
27,Buffalo,10.4
28,Indianapolis,10.3
29,NY Jets,10.1
29,Denver,10.1
31,Washington,9.6
32,Pittsburgh,9.2
