Rank,Team,2019 passing-yards-per-game
1,Tampa Bay,302.8
2,Dallas,296.9
3,Atlanta,294.6
4,Kansas City,282.8
5,LA Rams,281.2
6,LA Chargers,276.6
7,New Orleans,263.0
8,Las Vegas,245.4
9,New England,245.3
10,Detroit,243.8
11,Seattle,243.0
12,Houston,241.7
13,Miami,237.8
14,Green Bay,236.9
15,Jacksonville,235.0
15,Philadelphia,235.0
17,NY Giants,233.2
18,Cincinnati,228.3
19,Carolina,228.1
20,Cleveland,222.1
21,San Francisco,220.7
22,Arizona,217.3
23,Minnesota,215.3
24,Baltimore,210.0
25,Tennessee,207.7
26,Chicago,205.7
27,Buffalo,204.8
28,Denver,194.7
29,NY Jets,194.4
30,Indianapolis,194.3
31,Pittsburgh,186.3
32,Washington,175.8
