Rank,Team,2019 penalties-per-game
1,Indianapolis,4.9
2,Carolina,5.4
3,Minnesota,5.6
4,NY Giants,5.6
5,New England,5.7
6,Miami,5.8
7,Cincinnati,5.8
8,Green Bay,6.1
9,San Francisco,6.2
9,Tennessee,6.2
11,Philadelphia,6.3
12,Chicago,6.4
12,LA Chargers,6.4
14,Kansas City,6.5
15,Washington,6.6
16,Houston,6.8
17,Dallas,6.8
18,Baltimore,6.8
19,Denver,6.9
20,Pittsburgh,6.9
21,Seattle,7.0
22,Detroit,7.1
23,NY Jets,7.2
24,Buffalo,7.3
25,LA Rams,7.4
26,New Orleans,7.4
27,Atlanta,7.4
28,Arizona,7.6
29,Cleveland,7.6
30,Las Vegas,8.0
31,Jacksonville,8.3
32,Tampa Bay,8.3
