Rank,Team,2019 penalties-per-play
1,Indianapolis,0.04
2,Carolina,0.04
3,NY Giants,0.04
4,Miami,0.04
5,Minnesota,0.04
6,Cincinnati,0.04
7,New England,0.04
8,Philadelphia,0.05
9,Green Bay,0.05
10,Tennessee,0.05
11,San Francisco,0.05
12,Chicago,0.05
13,Kansas City,0.05
14,Dallas,0.05
15,Houston,0.05
16,Detroit,0.05
17,LA Chargers,0.05
18,Washington,0.05
19,Baltimore,0.05
20,Seattle,0.05
21,LA Rams,0.06
22,Denver,0.06
23,Pittsburgh,0.06
24,Atlanta,0.06
25,Buffalo,0.06
26,NY Jets,0.06
27,Arizona,0.06
28,New Orleans,0.06
29,Cleveland,0.06
30,Tampa Bay,0.06
31,Jacksonville,0.07
32,Las Vegas,0.07
