Rank,Team,2019 percent-of-games-with-an-interception
1,Minnesota,77.8%
2,New England,70.6%
3,Pittsburgh,68.8%
3,LA Rams,68.8%
5,Baltimore,64.7%
6,LA Chargers,62.5%
6,Indianapolis,62.5%
8,Green Bay,61.1%
9,Tennessee,57.9%
10,Washington,56.3%
10,NY Jets,56.3%
10,Miami,56.3%
13,Seattle,55.6%
14,Buffalo,52.9%
15,San Francisco,52.6%
15,Kansas City,52.6%
17,Cleveland,50.0%
17,Tampa Bay,50.0%
17,Carolina,50.0%
17,Cincinnati,50.0%
21,New Orleans,47.1%
21,Philadelphia,47.1%
23,Houston,44.4%
24,Dallas,43.8%
24,Detroit,43.8%
24,Chicago,43.8%
27,Las Vegas,37.5%
27,Denver,37.5%
27,NY Giants,37.5%
30,Atlanta,31.3%
30,Jacksonville,31.3%
30,Arizona,31.3%
