Rank,Team,2019 red-zone-scoring-pct
1,Tennessee,77.36%
2,Green Bay,67.86%
3,Tampa Bay,64.81%
4,Baltimore,64.71%
5,Seattle,64.62%
6,LA Rams,64.41%
7,Indianapolis,64.29%
8,Philadelphia,63.16%
9,Houston,62.71%
10,Minnesota,60.66%
11,Kansas City,60.00%
12,Detroit,59.52%
13,New Orleans,59.32%
14,Cleveland,58.00%
14,Carolina,58.00%
16,Dallas,57.41%
17,NY Giants,57.14%
18,Buffalo,56.52%
19,Miami,56.25%
20,San Francisco,55.56%
21,NY Jets,54.55%
22,Las Vegas,52.83%
22,LA Chargers,52.83%
24,Chicago,52.17%
25,Atlanta,51.67%
26,New England,49.21%
27,Washington,48.78%
28,Denver,47.62%
29,Arizona,45.28%
30,Cincinnati,43.75%
31,Jacksonville,40.43%
32,Pittsburgh,35.00%
