Rank,Team,2019 rushing-first-down-pct
1,Baltimore,47.71%
2,Indianapolis,38.53%
3,Buffalo,38.46%
4,San Francisco,36.02%
5,Tennessee,35.04%
6,Seattle,35.00%
7,Arizona,34.71%
8,Minnesota,33.53%
9,Las Vegas,33.02%
10,New England,32.58%
11,Dallas,31.66%
12,Houston,31.19%
13,Washington,29.84%
14,Philadelphia,29.68%
15,Cleveland,29.51%
16,Kansas City,28.70%
17,Chicago,28.62%
18,NY Giants,28.62%
19,Jacksonville,28.52%
20,Pittsburgh,28.30%
21,New Orleans,28.14%
22,Green Bay,27.82%
23,Denver,27.60%
24,Cincinnati,27.24%
25,LA Rams,26.90%
26,Detroit,26.20%
27,LA Chargers,25.79%
28,Carolina,24.48%
29,NY Jets,24.11%
30,Tampa Bay,22.95%
31,Atlanta,21.93%
32,Miami,20.32%
