Rank,Team,2019 rushing-touchdown-pct
1,Carolina,52.63%
2,Arizona,47.37%
3,San Francisco,46.15%
4,LA Rams,43.48%
5,Green Bay,41.18%
5,Minnesota,41.18%
7,Indianapolis,40.48%
8,Cleveland,39.47%
9,Denver,39.29%
10,Tennessee,37.50%
11,Dallas,36.73%
12,Houston,36.54%
13,Buffalo,36.11%
14,New England,36.00%
15,Las Vegas,35.14%
16,Philadelphia,34.78%
17,Kansas City,33.33%
17,Seattle,33.33%
19,LA Chargers,32.43%
20,Baltimore,32.31%
21,Washington,32.14%
21,Cincinnati,32.14%
23,Miami,29.41%
24,Tampa Bay,27.78%
25,Chicago,26.67%
26,NY Giants,25.00%
27,Pittsburgh,24.14%
28,New Orleans,24.07%
29,Atlanta,23.81%
30,NY Jets,19.35%
31,Detroit,18.42%
32,Jacksonville,10.34%
