Rank,Team,2019 rushing-touchdowns-per-game
1,San Francisco,1.6
2,Tennessee,1.3
3,Carolina,1.3
3,LA Rams,1.3
5,Baltimore,1.2
6,Green Bay,1.2
6,Minnesota,1.2
8,Kansas City,1.2
9,Dallas,1.1
9,Arizona,1.1
11,Indianapolis,1.1
12,New England,1.1
13,Houston,1.1
14,Seattle,1.0
15,Philadelphia,0.9
16,Cleveland,0.9
16,Tampa Bay,0.9
18,Las Vegas,0.8
19,New Orleans,0.8
19,Buffalo,0.8
21,LA Chargers,0.8
22,Denver,0.7
22,NY Giants,0.7
24,Atlanta,0.6
24,Miami,0.6
26,Washington,0.6
26,Cincinnati,0.6
28,Chicago,0.5
29,Pittsburgh,0.4
29,Detroit,0.4
31,NY Jets,0.4
32,Jacksonville,0.2
