Rank,Team,2019 sack-pct
1,Pittsburgh,9.51%
2,Carolina,8.88%
3,San Francisco,8.84%
4,Jacksonville,8.33%
5,LA Rams,8.17%
6,Buffalo,8.11%
7,New England,8.00%
8,Washington,7.85%
9,New Orleans,7.85%
10,Minnesota,7.50%
11,Green Bay,7.44%
12,Kansas City,7.19%
13,Denver,6.93%
14,Cleveland,6.90%
15,Philadelphia,6.82%
16,Indianapolis,6.80%
17,Tampa Bay,6.61%
18,Dallas,6.41%
19,Baltimore,6.37%
20,Tennessee,6.30%
21,Arizona,6.24%
22,NY Giants,6.08%
23,LA Chargers,6.07%
24,Cincinnati,5.85%
25,Las Vegas,5.73%
26,NY Jets,5.65%
27,Seattle,5.36%
28,Chicago,5.31%
29,Houston,4.97%
30,Atlanta,4.96%
31,Detroit,4.38%
32,Miami,4.05%
