Rank,Team,2019 special-teams-touchdowns-per-game
1,Detroit,0.1
1,Indianapolis,0.1
3,New England,0.1
4,Atlanta,0.1
4,Washington,0.1
4,Pittsburgh,0.1
4,Chicago,0.1
4,NY Jets,0.1
4,Miami,0.1
4,LA Chargers,0.1
4,NY Giants,0.1
4,Cincinnati,0.1
13,New Orleans,0.1
13,Buffalo,0.1
15,Houston,0.1
16,Tennessee,0.1
16,Kansas City,0.1
18,Dallas,0.0
18,Las Vegas,0.0
18,Jacksonville,0.0
18,San Francisco,0.0
18,Cleveland,0.0
18,Tampa Bay,0.0
18,Arizona,0.0
18,Denver,0.0
18,Carolina,0.0
18,LA Rams,0.0
18,Green Bay,0.0
18,Baltimore,0.0
18,Seattle,0.0
18,Philadelphia,0.0
18,Minnesota,0.0
