Rank,Team,2019 takeaway-fumble-recovery-pct
1,New Orleans,68.75%
2,Minnesota,66.67%
3,Chicago,60.00%
3,Houston,60.00%
5,Tampa Bay,59.26%
6,Seattle,57.14%
7,Tennessee,55.00%
8,Pittsburgh,54.55%
8,Baltimore,54.55%
10,Dallas,52.63%
11,Indianapolis,50.00%
12,Detroit,47.83%
12,LA Rams,47.83%
14,Cincinnati,45.45%
15,San Francisco,44.74%
16,Denver,43.75%
16,Carolina,43.75%
18,Arizona,43.48%
19,Jacksonville,42.86%
19,NY Giants,42.86%
19,Philadelphia,42.86%
22,Green Bay,42.11%
23,Las Vegas,40.00%
24,New England,39.29%
25,Washington,39.13%
26,Buffalo,38.46%
27,Atlanta,36.36%
28,Cleveland,35.29%
29,Kansas City,34.78%
30,NY Jets,31.03%
31,LA Chargers,18.75%
32,Miami,17.65%
