Rank,Team,2019 third-down-conversion-pct
1,Baltimore,48.29%
2,Dallas,47.06%
3,Kansas City,47.03%
4,Philadelphia,44.58%
5,San Francisco,44.35%
6,LA Chargers,44.33%
7,Las Vegas,43.78%
8,Houston,42.99%
9,Minnesota,42.41%
10,Atlanta,42.03%
11,New Orleans,41.87%
12,Indianapolis,41.55%
13,Tampa Bay,41.47%
14,Detroit,40.91%
15,Seattle,40.18%
16,LA Rams,39.90%
17,Tennessee,39.09%
18,New England,38.33%
19,Green Bay,37.61%
20,Buffalo,37.34%
21,NY Giants,37.26%
22,Cleveland,36.22%
23,Arizona,36.04%
24,Cincinnati,36.04%
25,Chicago,35.65%
26,Jacksonville,34.55%
27,Pittsburgh,34.36%
28,Miami,34.30%
29,Carolina,31.88%
30,Denver,31.68%
31,NY Jets,30.66%
32,Washington,29.05%
