Rank,Team,2019 time-of-possession-pct-net-of-ot
1,Baltimore,57.34%
2,Philadelphia,54.71%
3,New Orleans,53.37%
4,New England,52.56%
5,San Francisco,52.37%
6,Green Bay,52.23%
7,Las Vegas,51.70%
8,Atlanta,51.55%
9,Tampa Bay,51.52%
10,Seattle,50.87%
11,Jacksonville,50.81%
12,LA Chargers,50.78%
13,Chicago,50.45%
14,Houston,50.40%
15,Indianapolis,50.31%
16,Buffalo,50.06%
17,Cleveland,49.52%
18,Dallas,49.24%
19,Kansas City,49.10%
20,Cincinnati,49.04%
21,Denver,48.90%
22,LA Rams,48.36%
23,Carolina,48.18%
24,NY Jets,48.14%
25,Detroit,48.12%
26,Pittsburgh,47.99%
27,Tennessee,47.85%
28,Minnesota,47.73%
29,Miami,47.49%
30,NY Giants,47.26%
31,Arizona,45.57%
32,Washington,45.32%
