Rank,Team,2019 touchbacks-per-game
1,Tampa Bay,5.5
2,New Orleans,4.6
3,Carolina,4.1
4,LA Rams,4.1
5,Minnesota,3.8
6,Indianapolis,3.8
7,Kansas City,3.7
8,Seattle,3.6
9,New England,3.6
10,Denver,3.4
11,Baltimore,3.4
12,Dallas,3.2
13,NY Giants,3.1
14,Philadelphia,3.1
15,Miami,3.1
16,San Francisco,3.1
17,Washington,3.0
18,Atlanta,2.9
19,Cincinnati,2.9
20,Arizona,2.8
21,Green Bay,2.8
22,Buffalo,2.8
23,Houston,2.6
24,Jacksonville,2.4
25,Las Vegas,2.4
26,Tennessee,2.3
27,Chicago,2.3
27,LA Chargers,2.3
29,NY Jets,2.0
30,Pittsburgh,1.9
31,Cleveland,1.9
32,Detroit,1.6
