Rank,Team,2019 touchdowns-per-game
1,Baltimore,3.8
2,Kansas City,3.5
3,San Francisco,3.4
4,Tampa Bay,3.4
5,Tennessee,3.4
6,New Orleans,3.2
7,Dallas,3.1
8,Seattle,3.0
9,New England,2.9
10,Houston,2.9
11,LA Rams,2.9
12,Green Bay,2.8
12,Minnesota,2.8
14,NY Giants,2.8
15,Philadelphia,2.7
16,Atlanta,2.6
16,Indianapolis,2.6
18,Detroit,2.4
18,Cleveland,2.4
18,Arizona,2.4
18,Carolina,2.4
22,Las Vegas,2.3
22,LA Chargers,2.3
24,Miami,2.1
25,Buffalo,2.1
26,NY Jets,1.9
27,Chicago,1.9
28,Pittsburgh,1.8
28,Jacksonville,1.8
30,Washington,1.8
30,Denver,1.8
30,Cincinnati,1.8
