Rank,Team,2019 turnover-margin-per-game
1,New England,1.2
2,New Orleans,0.8
3,Seattle,0.7
3,Minnesota,0.7
5,Tennessee,0.5
6,Pittsburgh,0.5
6,Green Bay,0.5
8,Kansas City,0.4
9,Baltimore,0.4
10,San Francisco,0.4
11,Buffalo,0.2
12,Indianapolis,0.1
13,Washington,0.1
13,Denver,0.1
15,Chicago,0.0
15,Houston,0.0
15,LA Rams,0.0
18,Dallas,-0.1
18,Jacksonville,-0.1
18,Arizona,-0.1
21,Las Vegas,-0.1
22,Philadelphia,-0.2
23,NY Jets,-0.3
24,Atlanta,-0.3
24,Detroit,-0.3
26,Cleveland,-0.5
27,Miami,-0.6
28,Tampa Bay,-0.8
29,Carolina,-0.9
29,Cincinnati,-0.9
31,LA Chargers,-1.1
31,NY Giants,-1.1
