Rank,Team,2019 two-point-conversion-pct
1,Chicago,100.00%
1,Houston,100.00%
1,Buffalo,100.00%
1,LA Chargers,100.00%
5,Tampa Bay,83.33%
6,NY Jets,75.00%
6,Arizona,75.00%
6,Green Bay,75.00%
9,Dallas,66.67%
9,Cincinnati,66.67%
9,Indianapolis,66.67%
12,Philadelphia,57.14%
13,Jacksonville,50.00%
13,San Francisco,50.00%
13,New England,50.00%
13,Kansas City,50.00%
13,Denver,50.00%
13,NY Giants,50.00%
19,Seattle,40.00%
20,Tennessee,33.33%
20,Cleveland,33.33%
20,Baltimore,33.33%
20,Minnesota,33.33%
24,Miami,25.00%
24,Carolina,25.00%
24,LA Rams,25.00%
27,Atlanta,22.22%
28,Washington,16.67%
29,Pittsburgh,0.00%
29,New Orleans,0.00%
29,Las Vegas,0.00%
29,Detroit,0.00%
