Rank,Team,2019 yards-per-completion
1,Tampa Bay,12.7
2,Dallas,12.2
3,Kansas City,11.9
4,Tennessee,11.7
5,Seattle,11.5
6,San Francisco,11.4
7,Detroit,11.3
8,LA Rams,11.3
9,LA Chargers,11.2
10,Cleveland,11.2
11,Baltimore,11.2
12,Minnesota,10.8
13,Buffalo,10.7
14,Houston,10.7
15,Las Vegas,10.7
16,Green Bay,10.6
17,New England,10.5
18,Jacksonville,10.3
19,Atlanta,10.3
20,Cincinnati,10.3
21,Miami,10.3
22,Indianapolis,10.1
23,New Orleans,10.0
24,Denver,10.0
25,NY Giants,9.9
26,Arizona,9.8
27,Philadelphia,9.7
28,NY Jets,9.6
29,Carolina,9.6
30,Pittsburgh,9.5
31,Washington,9.4
32,Chicago,8.9
