Rank,Team,2019 yards-per-pass-attempt
1,Tennessee,8.5
2,San Francisco,8.3
3,Dallas,8.2
4,Seattle,8.2
5,Tampa Bay,8.1
6,Kansas City,8.1
7,Minnesota,7.9
8,Las Vegas,7.9
9,LA Chargers,7.8
10,Houston,7.7
11,New Orleans,7.6
12,Baltimore,7.4
13,LA Rams,7.4
14,Atlanta,7.4
15,Detroit,7.3
16,Green Bay,7.2
17,Cleveland,7.1
18,Arizona,6.9
19,Jacksonville,6.8
20,Denver,6.7
21,NY Giants,6.7
22,Buffalo,6.7
23,Miami,6.7
24,Washington,6.7
25,New England,6.6
26,Philadelphia,6.6
27,NY Jets,6.6
28,Carolina,6.5
29,Cincinnati,6.5
30,Indianapolis,6.5
31,Pittsburgh,6.3
32,Chicago,6.2
