Rank,Team,2019 yards-per-play
1,Dallas,6.5
2,Kansas City,6.2
3,Baltimore,6.1
4,San Francisco,6.0
5,Tennessee,6.0
6,New Orleans,5.9
7,LA Chargers,5.9
8,Las Vegas,5.9
9,Tampa Bay,5.9
10,Seattle,5.8
11,LA Rams,5.7
12,Houston,5.7
13,Minnesota,5.7
14,Cleveland,5.6
15,Atlanta,5.5
16,Green Bay,5.5
17,Arizona,5.5
18,Detroit,5.4
19,Jacksonville,5.4
20,NY Giants,5.4
21,Philadelphia,5.2
22,Buffalo,5.2
23,New England,5.2
24,Indianapolis,5.2
25,Carolina,5.1
26,Denver,5.0
27,Washington,5.0
28,Cincinnati,4.9
29,Miami,4.9
30,Pittsburgh,4.7
31,Chicago,4.7
32,NY Jets,4.6
