Rank,Team,2019 yards-per-rush-attempt
1,Baltimore,5.6
2,Arizona,5.0
3,Tennessee,5.0
4,Cleveland,4.8
5,Dallas,4.8
6,San Francisco,4.8
7,Carolina,4.7
8,NY Giants,4.7
9,Houston,4.6
10,Indianapolis,4.5
11,Buffalo,4.5
12,Seattle,4.5
13,Washington,4.4
14,Jacksonville,4.4
15,Minnesota,4.4
16,New Orleans,4.3
17,Las Vegas,4.3
18,Green Bay,4.3
19,Philadelphia,4.3
20,Kansas City,4.3
21,Denver,4.1
22,Detroit,4.1
23,LA Chargers,4.0
24,Cincinnati,3.9
25,New England,3.8
26,Atlanta,3.8
27,LA Rams,3.7
28,Tampa Bay,3.7
29,Chicago,3.7
30,Pittsburgh,3.7
31,Miami,3.3
32,NY Jets,3.3
