Rank,Team,2020 2nd-half-points-per-game
1,Minnesota,15.8
2,Seattle,15.0
3,Tampa Bay,14.9
4,Buffalo,14.5
5,Tennessee,14.2
6,Las Vegas,13.7
7,Pittsburgh,13.4
8,New Orleans,13.3
8,Green Bay,13.3
10,Kansas City,13.2
11,Washington,12.7
12,San Francisco,12.7
13,Houston,12.5
13,Arizona,12.5
15,Denver,12.1
16,Cleveland,11.9
17,Miami,11.9
18,Baltimore,11.8
19,Dallas,11.8
20,Indianapolis,11.7
21,Detroit,11.6
22,LA Rams,11.6
23,New England,11.5
24,Atlanta,10.9
25,Chicago,10.8
26,Philadelphia,10.6
27,Jacksonville,10.4
28,LA Chargers,9.9
29,Carolina,9.6
30,Cincinnati,8.9
31,NY Giants,8.4
32,NY Jets,7.3
