Rank,Team,2020 2nd-half-time-of-possession-share-pct
1,Las Vegas,55.57%
2,Miami,54.43%
3,New Orleans,54.35%
4,Buffalo,53.20%
5,Green Bay,52.86%
6,Kansas City,52.06%
7,Minnesota,52.00%
8,Cleveland,51.77%
9,Indianapolis,51.59%
10,Baltimore,51.44%
11,LA Rams,51.38%
12,NY Giants,51.09%
13,Carolina,51.06%
14,Washington,51.02%
15,Cincinnati,50.93%
16,Pittsburgh,50.93%
17,LA Chargers,50.64%
18,Arizona,49.53%
19,Tennessee,49.41%
20,San Francisco,49.28%
21,Dallas,49.26%
22,Chicago,49.24%
23,Seattle,49.07%
24,New England,48.80%
25,Atlanta,48.73%
26,Tampa Bay,48.60%
27,Detroit,47.24%
28,Denver,47.04%
29,Philadelphia,45.26%
30,Houston,44.46%
31,Jacksonville,43.96%
32,NY Jets,41.55%
