Rank,Team,2020 3rd-quarter-time-of-possession-share-pct
1,Las Vegas,58.22%
2,LA Rams,55.12%
3,New Orleans,54.65%
4,Baltimore,54.57%
5,Arizona,53.64%
6,Minnesota,53.23%
7,NY Giants,52.89%
8,LA Chargers,52.76%
9,Green Bay,52.29%
10,Buffalo,51.63%
11,Carolina,51.17%
12,Cleveland,51.04%
13,Miami,50.80%
14,Kansas City,50.77%
15,Pittsburgh,50.71%
15,Tennessee,50.71%
17,Indianapolis,50.22%
18,Chicago,49.49%
19,San Francisco,48.79%
19,Philadelphia,48.79%
21,Atlanta,48.69%
22,Seattle,48.27%
23,Washington,48.05%
24,New England,47.99%
25,Dallas,47.19%
26,Jacksonville,46.99%
27,Detroit,46.93%
28,Denver,46.59%
29,Houston,46.08%
30,Cincinnati,45.68%
31,Tampa Bay,43.60%
32,NY Jets,41.55%
