Rank,Team,2020 assisted-tackles-per-game
1,Carolina,24.4
2,Minnesota,24.3
3,NY Giants,23.1
4,Cincinnati,22.9
5,Dallas,22.8
6,NY Jets,22.0
7,Houston,21.6
8,Jacksonville,20.8
9,Washington,20.8
10,LA Rams,20.7
11,Detroit,20.6
12,Miami,20.1
13,New England,20.1
14,Tennessee,19.6
15,Philadelphia,19.4
16,Baltimore,19.3
17,Atlanta,19.3
18,Chicago,19.2
18,Seattle,19.2
20,LA Chargers,19.0
21,Cleveland,18.8
22,Green Bay,18.3
23,Denver,18.3
24,Kansas City,18.2
25,San Francisco,18.1
26,Buffalo,17.7
27,Tampa Bay,17.4
28,Las Vegas,17.1
29,New Orleans,16.6
30,Arizona,16.1
31,Pittsburgh,15.4
32,Indianapolis,14.5
