Rank,Team,2020 average-team-passer-rating
1,Green Bay,119.2
2,Houston,112.3
3,Buffalo,105.3
4,Minnesota,105.0
5,Tennessee,104.8
6,Kansas City,104.1
7,Seattle,103.5
8,Tampa Bay,102.0
9,New Orleans,101.5
10,Las Vegas,100.4
11,LA Chargers,97.0
12,Cleveland,96.3
13,Indianapolis,95.7
14,Arizona,94.1
15,Atlanta,93.9
16,Detroit,93.3
17,Pittsburgh,92.7
18,Baltimore,91.8
19,Miami,91.2
20,San Francisco,90.1
21,Dallas,89.9
22,LA Rams,89.1
23,Carolina,87.5
24,Chicago,87.0
25,Cincinnati,85.7
26,Jacksonville,83.9
27,New England,81.1
28,Washington,80.0
29,NY Giants,79.6
30,NY Jets,75.9
31,Philadelphia,72.9
32,Denver,72.5
